timestamp_utc,iso_pdt,carrier=verizon;connection_type=lte_cellular;experiment=none,default
1782975600,2026-07-02T00:00:00-07:00,2.3,
1782975660,2026-07-02T00:01:00-07:00,1.7,
1782975720,2026-07-02T00:02:00-07:00,2.5,
1782975780,2026-07-02T00:03:00-07:00,2.3,
1782975840,2026-07-02T00:04:00-07:00,2.5,
1782975900,2026-07-02T00:05:00-07:00,1.8,
1782975960,2026-07-02T00:06:00-07:00,1.9,
1782976020,2026-07-02T00:07:00-07:00,2.5,
1782976080,2026-07-02T00:08:00-07:00,2,
1782976140,2026-07-02T00:09:00-07:00,1.9,
1782976200,2026-07-02T00:10:00-07:00,2.5,
1782976260,2026-07-02T00:11:00-07:00,2.4,
1782976320,2026-07-02T00:12:00-07:00,2.4,
1782976380,2026-07-02T00:13:00-07:00,2.4,
1782976440,2026-07-02T00:14:00-07:00,2.2,
1782976500,2026-07-02T00:15:00-07:00,3.2,
1782976560,2026-07-02T00:16:00-07:00,10.6,
1782976620,2026-07-02T00:17:00-07:00,2.4,
1782976680,2026-07-02T00:18:00-07:00,4.2,
1782976740,2026-07-02T00:19:00-07:00,1.6,
1782976800,2026-07-02T00:20:00-07:00,2.3,
1782976860,2026-07-02T00:21:00-07:00,3.1,
1782976920,2026-07-02T00:22:00-07:00,2.8,
1782976980,2026-07-02T00:23:00-07:00,2.1,
1782977040,2026-07-02T00:24:00-07:00,2.8,
1782977100,2026-07-02T00:25:00-07:00,2.4,
1782977160,2026-07-02T00:26:00-07:00,3.8,
1782977220,2026-07-02T00:27:00-07:00,2,
1782977280,2026-07-02T00:28:00-07:00,2.5,
1782977340,2026-07-02T00:29:00-07:00,2.3,
1782977400,2026-07-02T00:30:00-07:00,3.1,
1782977460,2026-07-02T00:31:00-07:00,2.3,
1782977520,2026-07-02T00:32:00-07:00,1.8,
1782977580,2026-07-02T00:33:00-07:00,2.2,
1782977640,2026-07-02T00:34:00-07:00,2.2,
1782977700,2026-07-02T00:35:00-07:00,2.2,
1782977760,2026-07-02T00:36:00-07:00,2.6,
1782977820,2026-07-02T00:37:00-07:00,2.4,
1782977880,2026-07-02T00:38:00-07:00,2,
1782977940,2026-07-02T00:39:00-07:00,2.9,
1782978000,2026-07-02T00:40:00-07:00,2.8,
1782978060,2026-07-02T00:41:00-07:00,2.4,
1782978120,2026-07-02T00:42:00-07:00,2.5,
1782978180,2026-07-02T00:43:00-07:00,2.9,
1782978240,2026-07-02T00:44:00-07:00,2.3,
1782978300,2026-07-02T00:45:00-07:00,2.9,
1782978360,2026-07-02T00:46:00-07:00,2.4,
1782978420,2026-07-02T00:47:00-07:00,2.7,
1782978480,2026-07-02T00:48:00-07:00,2.8,
1782978540,2026-07-02T00:49:00-07:00,1.8,
1782978600,2026-07-02T00:50:00-07:00,2.7,
1782978660,2026-07-02T00:51:00-07:00,2.3,
1782978720,2026-07-02T00:52:00-07:00,2.7,
1782978780,2026-07-02T00:53:00-07:00,2.8,
1782978840,2026-07-02T00:54:00-07:00,2.6,
1782978900,2026-07-02T00:55:00-07:00,2.3,
1782978960,2026-07-02T00:56:00-07:00,4.3,
1782979020,2026-07-02T00:57:00-07:00,4.5,
1782979080,2026-07-02T00:58:00-07:00,2.8,
1782979140,2026-07-02T00:59:00-07:00,2.1,
1782979200,2026-07-02T01:00:00-07:00,2.8,
1782979260,2026-07-02T01:01:00-07:00,2.5,
1782979320,2026-07-02T01:02:00-07:00,2.5,
1782979380,2026-07-02T01:03:00-07:00,4.4,
1782979440,2026-07-02T01:04:00-07:00,2.4,
1782979500,2026-07-02T01:05:00-07:00,1.9,
