timestamp_utc,iso_pdt,carrier=verizon;connection_type=lte_cellular;experiment=none
1782933616,2026-07-01T12:20:16-07:00,498
1782933676,2026-07-01T12:21:16-07:00,498
1782933736,2026-07-01T12:22:16-07:00,498
1782933796,2026-07-01T12:23:16-07:00,498
1782933856,2026-07-01T12:24:16-07:00,498
1782958516,2026-07-01T19:15:16-07:00,489
1782958576,2026-07-01T19:16:16-07:00,489
1782958636,2026-07-01T19:17:16-07:00,489
1782958696,2026-07-01T19:18:16-07:00,489
1782958756,2026-07-01T19:19:16-07:00,489
1782998116,2026-07-02T06:15:16-07:00,41
1782998176,2026-07-02T06:16:16-07:00,41
1782998236,2026-07-02T06:17:16-07:00,41
1782998296,2026-07-02T06:18:16-07:00,41
1782998356,2026-07-02T06:19:16-07:00,41
1783020676,2026-07-02T12:31:16-07:00,542
1783020736,2026-07-02T12:32:16-07:00,542
1783020796,2026-07-02T12:33:16-07:00,542
1783020856,2026-07-02T12:34:16-07:00,542
1783020916,2026-07-02T12:35:16-07:00,542
1783039336,2026-07-02T17:42:16-07:00,497
1783039396,2026-07-02T17:43:16-07:00,497
1783039456,2026-07-02T17:44:16-07:00,497
1783039516,2026-07-02T17:45:16-07:00,497
1783039576,2026-07-02T17:46:16-07:00,497
1783091296,2026-07-03T08:08:16-07:00,315
1783091356,2026-07-03T08:09:16-07:00,315
1783091416,2026-07-03T08:10:16-07:00,315
1783091476,2026-07-03T08:11:16-07:00,315
1783091536,2026-07-03T08:12:16-07:00,315
1783105516,2026-07-03T12:05:16-07:00,556
1783105576,2026-07-03T12:06:16-07:00,556
1783105636,2026-07-03T12:07:16-07:00,556
1783105696,2026-07-03T12:08:16-07:00,556
1783105756,2026-07-03T12:09:16-07:00,556
1783388400,2026-07-06T18:40:00-07:00,363
1783388460,2026-07-06T18:41:00-07:00,363
1783388520,2026-07-06T18:42:00-07:00,363
1783388580,2026-07-06T18:43:00-07:00,363
1783388640,2026-07-06T18:44:00-07:00,363
1783390200,2026-07-06T19:10:00-07:00,428
1783390260,2026-07-06T19:11:00-07:00,428
1783390320,2026-07-06T19:12:00-07:00,428
1783390380,2026-07-06T19:13:00-07:00,428
1783390440,2026-07-06T19:14:00-07:00,428
1783442940,2026-07-07T09:49:00-07:00,806
1783443000,2026-07-07T09:50:00-07:00,806
1783443060,2026-07-07T09:51:00-07:00,806
1783443120,2026-07-07T09:52:00-07:00,806
1783443180,2026-07-07T09:53:00-07:00,806
1783451400,2026-07-07T12:10:00-07:00,446
1783451460,2026-07-07T12:11:00-07:00,446
1783451520,2026-07-07T12:12:00-07:00,446
1783451580,2026-07-07T12:13:00-07:00,446
1783451640,2026-07-07T12:14:00-07:00,446
1783472280,2026-07-07T17:58:00-07:00,479
1783472340,2026-07-07T17:59:00-07:00,479
1783472400,2026-07-07T18:00:00-07:00,479
1783472460,2026-07-07T18:01:00-07:00,479
1783472520,2026-07-07T18:02:00-07:00,479
1783529520,2026-07-08T09:52:00-07:00,425
1783529580,2026-07-08T09:53:00-07:00,425
1783529640,2026-07-08T09:54:00-07:00,425
1783529700,2026-07-08T09:55:00-07:00,425
1783529760,2026-07-08T09:56:00-07:00,425
1783544400,2026-07-08T14:00:00-07:00,451
1783544460,2026-07-08T14:01:00-07:00,451
1783544520,2026-07-08T14:02:00-07:00,451
1783544580,2026-07-08T14:03:00-07:00,451
1783544640,2026-07-08T14:04:00-07:00,451
1783558920,2026-07-08T18:02:00-07:00,425
1783558980,2026-07-08T18:03:00-07:00,425
1783559040,2026-07-08T18:04:00-07:00,425
1783559100,2026-07-08T18:05:00-07:00,425
1783559160,2026-07-08T18:06:00-07:00,425
1783606200,2026-07-09T07:10:00-07:00,74
1783606260,2026-07-09T07:11:00-07:00,74
1783606320,2026-07-09T07:12:00-07:00,74
1783606380,2026-07-09T07:13:00-07:00,74
1783606440,2026-07-09T07:14:00-07:00,74
1783628700,2026-07-09T13:25:00-07:00,489
1783628760,2026-07-09T13:26:00-07:00,489
1783628820,2026-07-09T13:27:00-07:00,489
1783628880,2026-07-09T13:28:00-07:00,489
1783628940,2026-07-09T13:29:00-07:00,489
1783648440,2026-07-09T18:54:00-07:00,406
1783648500,2026-07-09T18:55:00-07:00,406
1783648560,2026-07-09T18:56:00-07:00,406
1783648620,2026-07-09T18:57:00-07:00,406
1783648680,2026-07-09T18:58:00-07:00,406
1783700160,2026-07-10T09:16:00-07:00,228
1783700220,2026-07-10T09:17:00-07:00,228
1783700280,2026-07-10T09:18:00-07:00,228
1783700340,2026-07-10T09:19:00-07:00,228
1783700400,2026-07-10T09:20:00-07:00,228
1783709040,2026-07-10T11:44:00-07:00,310
1783709100,2026-07-10T11:45:00-07:00,310
1783709160,2026-07-10T11:46:00-07:00,310
1783709220,2026-07-10T11:47:00-07:00,310
1783709280,2026-07-10T11:48:00-07:00,310
1783738020,2026-07-10T19:47:00-07:00,435
1783738080,2026-07-10T19:48:00-07:00,435
1783738140,2026-07-10T19:49:00-07:00,435
1783738200,2026-07-10T19:50:00-07:00,435
1783738260,2026-07-10T19:51:00-07:00,435
1783775520,2026-07-11T06:12:00-07:00,58
1783775580,2026-07-11T06:13:00-07:00,58
1783775640,2026-07-11T06:14:00-07:00,58
1783775700,2026-07-11T06:15:00-07:00,58
1783775760,2026-07-11T06:16:00-07:00,58
1783802940,2026-07-11T13:49:00-07:00,566
1783803000,2026-07-11T13:50:00-07:00,566
1783803060,2026-07-11T13:51:00-07:00,566
1783803120,2026-07-11T13:52:00-07:00,566
1783803180,2026-07-11T13:53:00-07:00,566
1783816680,2026-07-11T17:38:00-07:00,455
1783816740,2026-07-11T17:39:00-07:00,455
1783816800,2026-07-11T17:40:00-07:00,455
1783816860,2026-07-11T17:41:00-07:00,455
1783816920,2026-07-11T17:42:00-07:00,455
1783875120,2026-07-12T09:52:00-07:00,355
1783875180,2026-07-12T09:53:00-07:00,355
1783875240,2026-07-12T09:54:00-07:00,355
1783875300,2026-07-12T09:55:00-07:00,355
1783875360,2026-07-12T09:56:00-07:00,355
1783879440,2026-07-12T11:04:00-07:00,471
1783879500,2026-07-12T11:05:00-07:00,471
1783879560,2026-07-12T11:06:00-07:00,471
1783879620,2026-07-12T11:07:00-07:00,471
1783879680,2026-07-12T11:08:00-07:00,471
1783913700,2026-07-12T20:35:00-07:00,487
1783913760,2026-07-12T20:36:00-07:00,487
1783913820,2026-07-12T20:37:00-07:00,487
1783913880,2026-07-12T20:38:00-07:00,487
1783913940,2026-07-12T20:39:00-07:00,487
1783950660,2026-07-13T06:51:00-07:00,154
1783950720,2026-07-13T06:52:00-07:00,154
1783950780,2026-07-13T06:53:00-07:00,154
1783950840,2026-07-13T06:54:00-07:00,154
1783950900,2026-07-13T06:55:00-07:00,154
1783965780,2026-07-13T11:03:00-07:00,345
1783965840,2026-07-13T11:04:00-07:00,345
1783965900,2026-07-13T11:05:00-07:00,345
1783965960,2026-07-13T11:06:00-07:00,345
1783966020,2026-07-13T11:07:00-07:00,345
1783998960,2026-07-13T20:16:00-07:00,354
1783999020,2026-07-13T20:17:00-07:00,354
1783999080,2026-07-13T20:18:00-07:00,354
1783999140,2026-07-13T20:19:00-07:00,354
1783999200,2026-07-13T20:20:00-07:00,354
1784038500,2026-07-14T07:15:00-07:00,86
1784038560,2026-07-14T07:16:00-07:00,86
1784038620,2026-07-14T07:17:00-07:00,86
1784038680,2026-07-14T07:18:00-07:00,86
1784038740,2026-07-14T07:19:00-07:00,86
1784061240,2026-07-14T13:34:00-07:00,421
1784061300,2026-07-14T13:35:00-07:00,421
1784061360,2026-07-14T13:36:00-07:00,421
1784061420,2026-07-14T13:37:00-07:00,421
1784061480,2026-07-14T13:38:00-07:00,421
1784087700,2026-07-14T20:55:00-07:00,462
1784087760,2026-07-14T20:56:00-07:00,462
1784087820,2026-07-14T20:57:00-07:00,462
1784087880,2026-07-14T20:58:00-07:00,462
1784087940,2026-07-14T20:59:00-07:00,462
1784128380,2026-07-15T08:13:00-07:00,172
1784128440,2026-07-15T08:14:00-07:00,172
1784128500,2026-07-15T08:15:00-07:00,172
1784128560,2026-07-15T08:16:00-07:00,172
1784128620,2026-07-15T08:17:00-07:00,172
